datetime                     lane speed  length  class   gap   wrong_dir  display  flash
Sat Sep 02 18:21:26 CEST 2017  1     58    40      2    6680      00         0    
Sat Sep 02 18:21:32 CEST 2017  2     62    45      2    8632      00         0    
Sat Sep 02 18:21:35 CEST 2017  1     65    47      2    8192      00         0    
Sat Sep 02 18:21:38 CEST 2017  2     48    46      2    5512      00         0    
Sat Sep 02 18:21:42 CEST 2017  2     52    46      2    3432      00         0    
Sat Sep 02 18:21:44 CEST 2017  2     51    50      2    896      00         0    
Sat Sep 02 18:21:46 CEST 2017  2     51    47      2    1920      00         0    
Sat Sep 02 18:22:08 CEST 2017  1     46    51      2    32368      00         0    
Sat Sep 02 18:22:16 CEST 2017  1     43    47      2    7488      00         0    
Sat Sep 02 18:22:22 CEST 2017  1     50    50      2    5344      00         0    
Sat Sep 02 18:22:27 CEST 2017  1     52    51      2    5064      00         0    
Sat Sep 02 18:22:29 CEST 2017  1     48    51      2    792      00         0    
Sat Sep 02 18:22:30 CEST 2017  1     49    52      2    1040      00         0    
Sat Sep 02 18:22:35 CEST 2017  1     51    47      2    4128      00         0    
Sat Sep 02 18:22:36 CEST 2017  2     49    39      2    49536      00         0    
Sat Sep 02 18:22:38 CEST 2017  2     48    47      2    1168      00         0    
Sat Sep 02 18:22:46 CEST 2017  1     46    47      2    10936      00         0    
Sat Sep 02 18:22:58 CEST 2017  1     53    45      2    11552      00         0    
Sat Sep 02 18:23:12 CEST 2017  1     68    42      2    13488      00         0    
Tue Aug 29 15:10:00 CEST 2017  2     38    51      2    736      00         0    
Tue Aug 29 15:10:02 CEST 2017  1     48    65      4    2960      00         0    
Tue Aug 29 15:10:02 CEST 2017  2     37    40      2    776      00         0    
Tue Aug 29 15:10:03 CEST 2017  2     38    47      2    936      00         0    
Tue Aug 29 15:10:05 CEST 2017  2     39    42      2    1392      00         0    
Tue Aug 29 15:10:06 CEST 2017  1     46    62      4    3840      00         0    
Tue Aug 29 15:10:08 CEST 2017  1     46    43      2    1552      00         0    
Tue Aug 29 15:10:10 CEST 2017  1     48    39      2    1632      00         0    
Tue Aug 29 15:10:12 CEST 2017  1     53    43      2    1280      00         0    
Tue Aug 29 15:10:16 CEST 2017  1     58    37      2    3432      00         0    
Tue Aug 29 15:10:19 CEST 2017  1     53    43      2    2808      00         0    
Tue Aug 29 15:10:20 CEST 2017  2     55    43      2    14616      00         0    
Tue Aug 29 15:10:21 CEST 2017  1     48    50      2    1880      00         0    
Tue Aug 29 15:10:24 CEST 2017  1     47    41      2    2896      00         0    
Tue Aug 29 15:10:26 CEST 2017  1     44    42      2    1248      00         0    
Tue Aug 29 15:10:28 CEST 2017  1     48    39      2    1032      00         0    
Tue Aug 29 15:10:33 CEST 2017  1     52    44      2    4632      00         0    
Tue Aug 29 15:10:37 CEST 2017  1     56  122        3    3536      00         0    
Tue Aug 29 15:10:47 CEST 2017  1     48    48      2    8928      00         0    
Tue Aug 29 15:10:54 CEST 2017  2     52    46      2    33288      00         0    
Tue Aug 29 15:10:55 CEST 2017  1     57    50      2    8408      00         0    
Tue Aug 29 15:10:56 CEST 2017  1     52    47      2    520      00         0    
Tue Aug 29 15:10:57 CEST 2017  2     49    52      2    2416      00         0    
Tue Aug 29 15:11:03 CEST 2017  2     50    58      4    5760      00         0    
Tue Aug 29 15:11:04 CEST 2017  2     50    43      2    760      00         0    
Tue Aug 29 15:11:06 CEST 2017  2     46    48      2    784      00         0    
Tue Aug 29 15:11:06 CEST 2017  1     50    48      2    9432      00         0    
Tue Aug 29 15:11:08 CEST 2017  1     48    51      2    1000      00         0    
Tue Aug 29 15:11:08 CEST 2017  2     44  149        6    1592      00         0    
Tue Aug 29 15:11:10 CEST 2017  2     44    46      2    672      00         0    
Tue Aug 29 15:11:11 CEST 2017  2     43    62      4    944      00         0    
Tue Aug 29 15:11:11 CEST 2017  1     49    52      2    3224      00         0    
Tue Aug 29 15:11:13 CEST 2017  2     41    45      2    1112      00         0    
Tue Aug 29 15:11:13 CEST 2017  1     49    57      2    1256      00         0    
Tue Aug 29 15:11:14 CEST 2017  2     40    45      2    656      00         0    
Tue Aug 29 15:11:16 CEST 2017  2     37    43      2    1408      00         0    
Tue Aug 29 15:11:18 CEST 2017  2     37    43      2    1120      00         0    
Tue Aug 29 15:11:21 CEST 2017  1     52    53      2    6744      00         0    
Tue Aug 29 15:11:21 CEST 2017  2     35    41      2    2288      00         0    
Tue Aug 29 15:11:24 CEST 2017  2     31    39      2    2096      00         0    
Tue Aug 29 15:11:24 CEST 2017  1     47    42      2    3216      00         0    
Tue Aug 29 15:11:27 CEST 2017  1     45    40      2    2400      00         0    
Tue Aug 29 15:11:28 CEST 2017  2     44    47      2    4152      00         0    
Tue Aug 29 15:11:29 CEST 2017  1     57    9      1    1608      00         0    
Tue Aug 29 15:11:31 CEST 2017  1     52    48      2    2168      00         0    
Tue Aug 29 15:11:34 CEST 2017  2     48    53      2    5080      00         0    
Tue Aug 29 15:11:36 CEST 2017  1     46    48      2    3352      00         0    
Tue Aug 29 15:11:38 CEST 2017  1     48    52      2    2528      00         0    
Tue Aug 29 15:11:40 CEST 2017  1     48    38      2    976      00         0    
Tue Aug 29 15:11:42 CEST 2017  1     40    47      2    1864      00         0    
Tue Aug 29 15:11:46 CEST 2017  2     51    41      2    11448      00         0    
Tue Aug 29 15:11:52 CEST 2017  2     51    35      2    6576      00         0    
Tue Aug 29 15:11:54 CEST 2017  2     48    48      2    1232      00         0    
Tue Aug 29 15:12:05 CEST 2017  2     57    50      2    10216      00         0    
Tue Aug 29 15:12:09 CEST 2017  1     50    49      2    26352      00         0    
Tue Aug 29 15:12:11 CEST 2017  1     50    46      2    1808      00         0    
Tue Aug 29 15:12:15 CEST 2017  1     49    59      4    3176      00         0    
Tue Aug 29 15:12:15 CEST 2017  2     55    45      2    10000      00         0    
Tue Aug 29 15:12:18 CEST 2017  1     47    42      2    2192      00         0    
Tue Aug 29 15:12:19 CEST 2017  1     49    41      2    872      00         0    
Tue Aug 29 15:12:19 CEST 2017  2     55    41      2    3344      00         0    
Tue Aug 29 15:12:24 CEST 2017  1     51    39      2    4880      00         0    
Tue Aug 29 15:12:25 CEST 2017  1     50    64      4    648      00         0    
Tue Aug 29 15:12:27 CEST 2017  1     51    47      2    584      00         0    
Tue Aug 29 15:12:28 CEST 2017  1     43    19      1    960      00         0    
Tue Aug 29 15:12:29 CEST 2017  2     62    48      2    9248      00         0    
Tue Aug 29 15:12:31 CEST 2017  2     57    47      2    1472      00         0    
Tue Aug 29 15:12:31 CEST 2017  1     50    55      2    2416      00         0    
